Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
290347.24,74.81,24.2,20.2,0,7.4
359366.97,74.81458333,23.2,19,0.8,12.8
68716.72,74.84395833,14.2,11.2,1.4,7.5
62003.8,74.85895833,17.7,11.2,0,6.2
262047.32,74.86875,17.5,5.9,0,9.2
368354.92,74.871875,20,11.7,0,9.1
69332.7,74.94208333,14.6,11.2,0.2,7.4
302221.33,74.954375,24.3,17.2,0,11.9
220173.4,75.001875,19.2,15.8,0,10.8
63854.37,75.02270833,12.7,4.1,0,7.2
311791.48,75.12270833,25.6,19.4,18,9.6
64826.09,75.20229167,16.9,9.9,0.8,7.3
289752.49,75.28833333,23.7,11,0,14.3
428535.72,75.32020833,15.1,11,7.2,7.3
199780.5,75.336875,25.8,16.4,0,24
60477.43,75.3375,31,15.9,0,28.3
436841.3,75.33770833,18.8,7.4,0,8.4
418468.11,75.375,19,11.2,33.9,7.4
384807.54,75.40208333,24,10.3,0,12.1
319568.01,75.42125,30.8,20.3,0,20.6
409199.56,75.47041667,16,9.2,0,13.9
60014.34,75.59958333,10.6,5.3,2.6,3.9
370902.83,75.725,25.2,15.2,0,13.5
308719.63,75.86520833,26.8,20.2,0.2,12.1
305578.52,75.90875,25.6,18.4,0.6,11.2
60915.05,75.91354167,11.4,5.1,4.5,6
317133.57,75.94583333,31.3,20.7,18.4,16.6
304091.06,75.95520833,30.9,20.9,0,23.1
375028.29,76.05729167,25.6,18,0,8.1
262134.5,76.15854167,12.3,5.8,4.4,12.8
62334.5,76.16625,13.1,7.9,5.8,8.9
56890.04,76.18125,14.1,7.9,1.5,5
59560,76.18416667,13.4,9.3,3.8,9.2
45960.38,76.27645833,25.7,9.4,0,9.6
265548.59,76.29229167,19.1,3.5,0,9
257070.38,76.31125,17.4,8.8,4,8.9
70700.17,76.43666667,15.3,11.8,0,9.7
297335.06,76.44541667,23.6,9.6,0,13.9
367596.15,76.51395833,23.4,17.4,79,7.8
191934.81,76.606875,22.1,8.6,0,14
58653.67,76.68958333,25.4,17.5,0,11.8
293798.29,76.695,25,12.5,0,12.1
352836.33,76.743125,21.1,12.3,0,12.1
288107.52,76.79770833,27.6,13,0,16.3
292625.96,76.80020833,22.9,8.8,0,14.9
72465.23,76.95145833,16.2,5,0,10.3
61007.73,77.02979167,17.1,4.5,0,6.6
58814.6,77.05104167,13.8,3.5,0,9
294767.81,77.066875,27.3,17.3,0.8,15.9
388457.76,77.12958333,25.2,19.2,0,18.9
418770.57,77.20375,17.4,9.7,0.1,10.6
371859.58,77.21375,29.7,20.8,0,22.8
294652.93,77.28645833,28.3,20.5,54,11.6
55609.71,77.500625,15.4,6.3,0,7.1
267599.31,77.51375,15.7,8.2,0,3.3
57298.28,77.54916667,13.7,8.6,0.2,5.2
