Total_Demand,RRP,Maximum_Temp,Minimum_Temp,Rainfall,Solar_Exposure
241138.92,41.07270833,25.5,13.7,0,25
43554.23,41.20104167,21.9,11.9,0,19.3
368027.6,41.24416667,16.9,13.6,0.6,5.1
66824.24,41.26166667,17.4,7.1,0.4,12.3
424607.82,41.28875,18.2,6.5,0,13.9
332674.98,41.289375,26.7,13.3,0,16.8
191906.41,41.33125,26.4,16.5,,9.5
429172.56,41.35666667,17.7,8.2,0.6,8.9
56846.6,41.366875,11.8,7.4,0.6,5.5
202826.29,41.39479167,32.1,13.2,,20.8
55633.15,41.52854167,16.9,6.8,0,7.3
311082.91,41.56916667,21,12.1,0,14.3
62484.73,41.57916667,25.3,18.2,0,25.1
350649.79,41.621875,21,12.8,1.4,14.9
301241.23,41.639375,20.5,11.1,0,17.1
317750.69,41.68229167,21.9,21,,3.3
50709.97,41.68916667,19,14.5,12.4,1.5
193844.04,41.71645833,21.1,11.4,0.2,25.4
60201.11,41.726875,16.1,10.3,1.6,8
217976.88,41.74604167,20.1,10.8,0,27.1
62182.51,41.76020833,13.8,3,0,6.8
57122.64,41.76041667,12.9,3.6,0,6.1
387241.18,41.83770833,20.1,6.7,0,12.7
45933.84,41.88354167,22.3,14.2,0,14.8
359716.27,41.89270833,26,17.6,0.6,22.4
352001.44,41.92583333,27,16.5,0,22.7
50209.81,41.92625,24.6,13.1,0,25.5
356772.66,41.95729167,24.3,17.8,3.4,16.7
56770.93,41.99770833,13.1,4.1,0,5.7
59152.63,42.01,10.1,6.6,1.4,6.4
285303.03,42.10354167,28.3,21,0,6.4
431745.29,42.10666667,16.8,14.2,73.6,3.8
411278.61,42.110625,15.4,8.2,2.6,8.6
315950.57,42.149375,25.2,17.3,17,15.8
286020.54,42.175,10.3,7.7,0.2,4.1
54808.45,42.21354167,21.2,12.4,0,17
54560.83,42.22166667,21.4,12.7,0,17.9
48576.12,42.24854167,17.3,10.1,3,11.4
50501.04,42.28583333,14.1,9.6,2,9.9
46858.61,42.32875,21.4,7.6,0.4,27.7
386654.57,42.35270833,22.3,10,1.2,14.6
51872.41,42.42958333,31.3,12,0,21.2
386658.63,42.43895833,22.8,11.1,0,14.5
399048.86,42.46479167,15.7,9.2,0.4,8.1
52356.25,42.46604167,22.5,17,0.8,11.9
238643.71,42.46645833,17.2,10,0.4,11.2
52056.46,42.52916667,15.3,8.7,0,5.8
400631.25,42.54833333,17.4,11.2,18.2,7.9
250607.77,42.55770833,12.5,4,0.6,8.3
55288.49,42.55875,10.9,6.6,0.4,7.8
203520.18,42.565625,15.3,11,3,7.7
291770.7,42.59458333,21,10.3,0,11.7
217175.04,42.608125,21.2,8.9,0,15.8
52567.1,42.665,16,9.7,0,4.2
56576.86,42.67625,17.1,6.8,0,7.4
55901.29,42.70520833,19.9,9.6,0,17
359268.74,42.72666667,30.7,19.3,0,24.9
254290.28,42.7425,14.5,10.4,2.8,8.9
49154.9,42.75666667,15,11,0.2,8.6
239579.94,42.770625,17.7,8.1,0,4.9
69760.13,42.78958333,15.3,9.6,9.2,12.3
373947.58,42.83375,20.1,11.9,4.4,14
383523.96,42.86604167,36.6,20.5,0,19.8
442233.42,42.87145833,17,7.6,0,10.9
430252.07,42.873125,15.9,7.9,4.6,5.8
53486.32,42.88854167,12.2,5.4,0.8,10.3
53904.85,42.920625,21.3,10.9,0,19.2
57117.95,42.94229167,11.4,5.7,0,3.8
70607.14,42.94333333,16.1,6.3,0.6,7.4
240153.29,43.04083333,19.4,5.5,0,10.5
281897.79,43.043125,25,11.1,0,13.1
291262.12,43.11479167,23.5,14.9,7,10.9
52212.51,43.16833333,21.3,13.8,0,10.5
369000.74,43.180625,22.3,18.7,77.7,2.3
287120.51,43.18333333,22.5,13.5,0.8,11.4
352051.46,43.235625,21.4,16.1,15.2,8.6
